date,id,temp count,temp mean,temp std,temp min,temp max,dwpt count,dwpt mean,dwpt std,dwpt min,dwpt max,rhum count,rhum mean,rhum std,rhum min,rhum max,prcp count,prcp mean,prcp std,prcp min,prcp max,snow count,snow mean,snow std,snow min,snow max,wdir count,wdir mean,wdir std,wdir min,wdir max,wspd count,wspd mean,wspd std,wspd min,wspd max,wpgt count,wpgt mean,wpgt std,wpgt min,wpgt max,pres count,pres mean,pres std,pres min,pres max,tsun count,tsun mean,tsun std,tsun min,tsun max,location,region,name
5.0,D4555,0.0,,,,,0.0,,,,,0.0,,,,,2232.0,0.0264336917562724,0.2106109575281372,0.0,4.8,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(52.663, 12.1812, 29)",ST,Schollene
5.0,10305,2232.0,14.348297491039428,6.128556049483891,-0.3,33.7,2232.0,7.190636200716846,4.703995378612294,-5.8,19.4,2232.0,66.01881720430107,20.605330735484443,18.0,100.0,2232.0,0.0525089605734767,0.6062597228545781,0.0,18.1,0.0,,,,,2232.0,193.8978494623656,113.92568903455422,0.0,360.0,2232.0,9.100851254480286,4.695734084648765,0.0,28.1,2232.0,20.728853046594985,10.441903948721045,0.0,74.0,2232.0,1018.0275985663084,8.069554758315482,995.7,1040.5,2232.0,19.454749103942653,24.648960159827823,0.0,60.0,"(52.5167, 7.3, 24)",NI,Lingen
8.0,D0087,0.0,,,,,0.0,,,,,0.0,,,,,2231.0,0.0822501120573733,0.8484375257930039,0.0,28.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(51.095, 11.0479, 158)",TH,Alperstedt
8.0,D7427,2232.0,18.76465053763441,4.855022349216706,8.5,34.3,2232.0,13.73929211469534,2.4420825041780545,6.0,19.8,2232.0,75.66756272401433,18.7420783390398,19.0,100.0,2232.0,0.0937724014336917,0.6903456141357672,0.0,21.7,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(54.0188, 9.9255, 17)",SH,Padenstedt (Pony-Park)
3.0,10131,2232.0,5.242652329749103,3.6287202581463367,-8.1,17.3,2232.0,1.7724462365591398,4.560487219264224,-13.2,10.6,2232.0,79.54704301075269,14.033721641547826,27.0,100.0,2232.0,0.0702060931899641,0.2709518930947737,0.0,3.4,2213.0,0.009037505648441,0.3005564834903704,0.0,10.0,2232.0,202.68817204301075,83.57077742767743,0.0,360.0,2232.0,21.67625448028674,12.49953726597485,2.5,70.6,2232.0,37.117383512544805,18.240871125993472,5.0,110.0,2232.0,1011.9898297491038,13.70480157991443,981.1,1039.0,2232.0,9.639336917562725,19.731417861815675,0.0,60.0,"(53.8667, 8.7, 5)",NI,Cuxhaven
10.0,D2211,2232.0,10.554345878136202,4.402093846208888,-1.0,25.8,2232.0,7.71366487455197,3.2448306108499705,-2.4,15.0,2232.0,83.95698924731182,13.077431553334808,32.0,100.0,2071.0,0.1117817479478512,0.366819813439018,0.0,5.3,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(50.7371, 7.6528, 295)",RP,Hilgenroth
9.0,D4310,0.0,,,,,0.0,,,,,0.0,,,,,2160.0,0.055787037037037,0.4190837079334246,0.0,9.1,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(49.1609, 8.3009, 105)",RP,Rülzheim
4.0,D5149,2160.0,11.453194444444446,6.046342490078911,-6.8,27.2,2160.0,3.603333333333333,4.463848714401863,-10.3,14.6,2160.0,62.86296296296296,21.216603182322245,17.0,100.0,2160.0,0.0397685185185185,0.3476606690918261,0.0,10.8,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(49.5741, 10.1916, 308)",BY,Gollhofen
4.0,D2641,2160.0,11.120694444444444,6.22154904459342,-5.4,27.3,2160.0,3.592592592592593,4.564223475465311,-7.8,14.3,2160.0,63.625,20.23372292256387,17.0,100.0,2160.0,0.0223611111111111,0.1948978168791011,0.0,4.8,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(51.5185, 12.9065, 85)",SN,Klitzschen bei Torgau
10.0,10640,2232.0,11.75739247311828,3.9850233983653465,1.9,25.7,2232.0,8.410707885304658,3.1574727680983226,-0.7,14.9,2232.0,81.18996415770609,12.655159038513265,38.0,100.0,2232.0,0.0764336917562724,0.2111635734863832,0.0,2.8,0.0,,,,,2232.0,147.1402329749104,86.3093450973503,2.0,360.0,2232.0,11.059632616487454,5.679268364171917,1.8,27.8,2232.0,22.91209677419355,10.03947683886769,5.5,53.7,2232.0,1015.539964157706,7.894001807940116,984.3,1032.9,0.0,,,,,"(50.1167, 8.7333, 98)",HE,Offenbach am Main
11.0,10776,2160.0,4.52462962962963,3.9102986138548776,-6.7,19.3,2160.0,2.8442592592592595,3.6911162841691088,-9.7,14.7,2160.0,89.47175925925926,9.620840560795877,43.0,100.0,2160.0,0.0316203703703703,0.1559538308654337,0.0,2.1,2118.0,0.0236071765816808,0.6515921567725902,0.0,20.0,2160.0,169.1064814814815,105.55654464458355,0.0,360.0,2160.0,7.730740740740742,3.4554022799874247,0.7,24.8,2160.0,15.904583333333337,6.974599738499278,3.0,47.0,2160.0,1018.2917129629632,10.253906759220548,988.8,1038.8,2151.0,4.256159925615993,14.2148604829346,0.0,60.0,"(49.05, 12.1, 366)",BY,Regensburg
10.0,D5646,0.0,,,,,0.0,,,,,0.0,,,,,1488.0,0.054502688172043,0.2468222135540692,0.0,2.8,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(51.3645, 9.749, 220)",HE,Witzenhausen-Ziegenhagen
3.0,D1237,0.0,,,,,0.0,,,,,0.0,,,,,2232.0,0.0687724014336917,0.2831542861927045,0.0,3.9,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(48.0891, 12.5071, 508)",BY,Tacherting-Spreit
12.0,D2999,0.0,,,,,0.0,,,,,0.0,,,,,2232.0,0.1211917562724014,0.4069805675917128,0.0,5.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(52.1211, 7.8699, 55)",NW,Lienen-Kattenvenne
